ComboIndex,SharpeRatio,Weights
11,0.2941427616336983,[4.9742446641344626e-2;1.6654383754981995e-2;3.36485309095298e-2;2.4684492142208764e-2;2.3077028540865203e-2;2.9741420648286544e-2;6.074006924024184e-2;2.3326410026605383e-2;3.17761603260775e-2;6.1821541778534564e-2;4.2082142457912385e-2;3.816857815064454e-2;2.1063527240322125e-2;1.3070398941190615e-2;6.377934756581538e-2;5.708809480039807e-2;2.433336793253957e-2;5.1613826439620494e-2;3.354560665451262e-2;6.0852143754633756e-2;4.5099277903244396e-2;4.7179897011894796e-2;6.315648728024247e-2;6.448004119777694e-2;1.9274778660575545e-2]
12,0.3257549301138207,[6.758314228961534e-2;1.7980851645023367e-2;2.4151951135779354e-2;1.803392438729737e-2;2.6328474853551106e-2;3.871647599027168e-2;6.57845294457605e-2;2.5362991590114143e-2;4.371369484039113e-2;4.872739837471726e-2;1.6157556048892584e-2;4.123847158322801e-2;4.22012945571615e-2;4.292700847302438e-2;7.708637305939083e-2;5.877261310025637e-2;2.1301218879677748e-2;6.920829352425012e-2;1.734424130264684e-2;2.050865798944464e-2;3.782549782406036e-2;4.9752138183776815e-2;7.372996332910849e-2;3.969771430266078e-2;1.5865523289899503e-2]
13,0.3502687096085211,[3.086756799431175e-2;4.88281846152647e-2;2.0851991503167695e-2;3.111062611340834e-2;6.011915571753834e-2;4.166161714275746e-2;7.021526615044917e-2;2.7618978859476704e-2;2.9317817791902484e-2;7.215565567630818e-2;2.8205025469936782e-2;2.020327648535141e-2;2.221688867265902e-2;3.160238399943449e-2;4.226156263612325e-2;4.046408319742081e-2;2.3440678925733146e-2;4.207378068711846e-2;2.7899058663701456e-2;7.279610274354435e-2;2.533010447491654e-2;4.435413463113534e-2;7.403608175735274e-2;2.966875986620094e-2;4.270121622478648e-2]
14,0.3219951333440799,[2.604762551397308e-2;3.135197669856306e-2;1.8902777008649885e-2;5.913656596306827e-2;2.9035636736196534e-2;3.0739346104839478e-2;2.2401888287872207e-2;4.975292950912895e-2;2.205265301062996e-2;5.1181093615901736e-2;2.56112153776277e-2;2.093161608347135e-2;4.748876137490122e-2;1.654786749976621e-2;5.679290996923404e-2;4.020999774933903e-2;1.8386298168030526e-2;4.6484285787710085e-2;5.484508621792359e-2;6.922911795028533e-2;5.218095976459405e-2;2.9439235094295586e-2;7.463927473286847e-2;3.422766119598635e-2;7.238322058514315e-2]
15,0.3474767679446949,[6.332966655262981e-2;3.341324942074222e-2;3.4144241565199664e-2;6.449576028267924e-2;1.7372355186397577e-2;1.957453156743237e-2;3.90868215562585e-2;1.5880054704765494e-2;2.9000453918731166e-2;7.357059685121073e-2;2.1714145256327127e-2;7.343135037211941e-2;2.35345383504914e-2;4.395277049770877e-2;7.349859791560147e-2;4.158735938387733e-2;2.6194823518168046e-2;5.9728951247440376e-2;3.0985283190268054e-2;2.3407195010044398e-2;5.263850545700869e-2;3.5583475982470206e-2;4.408652743128127e-2;2.4654426024065385e-2;3.5134318757081236e-2]
16,0.3331091726760282,[2.4639734935510606e-2;2.476143528835001e-2;4.62913116405589e-2;1.6751186669167997e-2;2.3694105668350892e-2;1.5964626028083555e-2;3.6255748102374134e-2;2.7022336481655276e-2;7.322347816672402e-2;7.076367610430326e-2;1.6527984506816622e-2;6.773306638019444e-2;2.543911574930286e-2;4.45567080123836e-2;4.6555835399739516e-2;4.900694631701197e-2;5.2813109613605275e-2;7.436886871166465e-2;2.5940352379265976e-2;3.1121480820026887e-2;2.568138715931399e-2;3.5990711750473796e-2;4.980747648922607e-2;2.4100972225803624e-2;7.098834540009204e-2]
17,0.2777760861423075,[2.6498385767064838e-2;1.619967365668297e-2;6.162107997220363e-2;2.162032424079025e-2;5.0847302687006345e-2;4.344746876956046e-2;3.827258492292133e-2;2.0054797412867618e-2;2.6173424964241503e-2;6.756017875545496e-2;7.548197836249394e-2;1.7057984031476996e-2;5.830370293817243e-2;2.111013313091372e-2;7.351356598966431e-2;2.3078725357107338e-2;6.883941501234773e-2;2.392871953141513e-2;1.7072509834417153e-2;3.8993210448266424e-2;3.5419604870381274e-2;6.66674358425651e-2;2.244332029214104e-2;1.65946745250721e-2;6.919979868477132e-2]
18,0.31219369858826396,[5.086246289211667e-2;1.6670781287978415e-2;6.108793725923342e-2;5.9097380924289934e-2;3.142707061187548e-2;2.5886968033491182e-2;6.256956336259886e-2;4.5825472881411075e-2;3.0950895821322388e-2;6.724714081839274e-2;3.914356508524814e-2;1.4925290255822532e-2;1.924794793022718e-2;2.785394636477652e-2;6.666518179374328e-2;5.480963400709776e-2;1.7848884351246617e-2;1.8658282961243947e-2;1.6718938108257017e-2;4.743421197902044e-2;3.7462711561581104e-2;2.398472712131316e-2;5.518507415211018e-2;5.992182828445973e-2;4.851410215114211e-2]
19,0.286704731188274,[2.2573897785994404e-2;3.570307118105176e-2;3.963972392848556e-2;7.307579287072308e-2;7.621077915162651e-2;2.4627173610420588e-2;3.389856312534111e-2;4.633921357677049e-2;2.594918673288033e-2;7.438273372616608e-2;2.724184870996269e-2;2.6897574746482203e-2;1.821652745144728e-2;1.6004292119797803e-2;1.73112917437584e-2;4.1211572309001104e-2;2.7075684336884842e-2;3.9282353293465e-2;2.2394234447284875e-2;1.668360401891709e-2;6.68050331252773e-2;4.1699435430087764e-2;6.493743500359435e-2;4.696500499007552e-2;7.487397258450397e-2]
20,0.2877579267828883,[2.8578640903324577e-2;4.747376308374385e-2;3.85502975875952e-2;5.4243624748118474e-2;3.497926312445831e-2;5.420689391390975e-2;4.565191469315767e-2;1.724231894737109e-2;4.66061836870623e-2;6.360828360139445e-2;5.469913055904654e-2;1.6925088980094465e-2;1.7036392519111695e-2;1.73986553803156e-2;5.812490576971321e-2;3.5003534591842175e-2;3.081926712154393e-2;6.672480338348227e-2;2.21602299587453e-2;5.3426457409273376e-2;6.413134111763924e-2;5.749638349131322e-2;2.3773396607275437e-2;3.0148015558944283e-2;2.0991213261523596e-2]
21,0.31582762581836077,[2.4680055269790332e-2;3.1373735703941634e-2;1.5395621373459e-2;6.964931687865573e-2;2.4773839214316643e-2;2.658592901436126e-2;7.059223326422322e-2;2.4598755639713976e-2;4.894388532364088e-2;6.343785308792944e-2;3.0484440793091837e-2;5.419662052043008e-2;6.71790285728369e-2;2.4472004840259062e-2;6.852755219063071e-2;2.802748177369028e-2;3.4945108101042205e-2;2.8094362237066507e-2;2.8501542834633617e-2;4.335692801542473e-2;4.314256760472117e-2;2.2673631179355985e-2;3.2281847008398604e-2;6.881068260090883e-2;2.5274976957477376e-2]
22,0.3041857776645845,[4.9737114473879365e-2;2.1833888993875023e-2;4.9355975365779715e-2;3.405260589337754e-2;2.624508696490549e-2;2.269800527735135e-2;6.778729511328237e-2;3.428483052705013e-2;2.9777404582041873e-2;6.800709135815863e-2;3.1707725561555086e-2;5.421079607573591e-2;4.173156142908323e-2;4.75300517570053e-2;7.381463231844164e-2;2.4457221422712255e-2;5.527349381530463e-2;7.736090216402018e-2;4.709601261421972e-2;1.8199584646951757e-2;4.187419454862798e-2;1.8545050601524005e-2;2.5546273412726177e-2;1.7293541977709156e-2;2.1579659104681497e-2]
23,0.28973930686578425,[4.410660126449737e-2;2.7012453033965215e-2;1.8722704598440654e-2;4.003770865423261e-2;3.381719862667977e-2;1.9782646511665388e-2;5.964005251280979e-2;3.233976791949418e-2;6.953980946213933e-2;6.29910873736842e-2;5.1175635949375985e-2;1.6701852653952347e-2;2.2646611495199795e-2;2.9457033105401008e-2;6.819848872068604e-2;4.589157969546123e-2;1.9811006116798535e-2;7.12437935003416e-2;2.602991062161136e-2;3.2794360062678364e-2;3.3687140578245775e-2;1.7700653251704803e-2;7.070494475832154e-2;1.9342725941175223e-2;6.662423359143793e-2]
24,0.30377141800677576,[4.637541027250373e-2;2.5425942551890963e-2;1.7816356800263302e-2;3.20265384262078e-2;3.88696060807236e-2;3.276070758027024e-2;4.761622266820984e-2;3.0544765656155496e-2;4.364052843376416e-2;6.788975150997485e-2;2.6111499446643763e-2;4.3816185515442065e-2;3.160445329427342e-2;6.327059734667931e-2;6.459884788593592e-2;5.330544312909227e-2;2.6908171437644134e-2;4.456214374605534e-2;4.350044414361069e-2;1.628299294715917e-2;4.2778839184467225e-2;3.249713595506548e-2;2.395284715460113e-2;4.4145381488417096e-2;5.9699187344948675e-2]
